Restaurant Name,Area / Location,Cuisine Type,Price Range (for 2),Veg/Non-Veg,Ambience,Rating,Tags
Indian Accent,Lodhi Road,Modern Indian,"?5,000+",Both,Fine Dining,4.9,"Romantic, Luxury"
Bukhara,Chanakyapuri,North Indian,"?6,000+",Both,Fine Dining,4.8,"Iconic, Family"
Dum Pukht,Chanakyapuri,Awadhi,"?6,000+",Both,Fine Dining,4.7,"Royal, Luxury"
Megu,Chanakyapuri,Japanese,"?5,500+",Both,Fine Dining,4.6,"Contemporary, Chic"
Le Cirque,Chanakyapuri,French-Italian,"?6,000+",Both,Fine Dining,4.5,"Romantic, Skyline"
Spice Route,Janpath,South East Asian,"?5,000+",Both,Fine Dining,4.7,"Art-led, Intimate"
China Kitchen,Bhikaji Cama Place,Chinese,"?4,500+",Both,Fine Dining,4.5,"Open Kitchen, Family"
Olive Bar & Kitchen,Mehrauli,Mediterranean,"?4,000+",Both,Fine Dining,4.6,"Romantic, Outdoor"
Dhaba Estd 1986,Connaught Place,North Indian,"?2,500+",Both,Casual-Fine,4.4,"Vibrant, Funky"
Town Hall,Khan Market,Pan-Asian,"?3,500+",Both,Fine Dining,4.5,"Trendy, Sushi Bar"
The Grammar Room,Mehrauli,International,"?3,000+",Both,Cafe,4.6,"Aesthetic, Brunch"
Diggin,Chanakyapuri,Italian/Cafe,"?1,800+",Both,Cafe,4.5,"Fairy-tale, Garden"
Greenr Cafe,Vasant Vihar,Plant-based,"?1,500+",Vegan/Veg,Cafe,4.4,"Healthy, Pet-friendly"
Rose Cafe,Saket,Italian/Lebanese,"?1,500+",Both,Cafe,4.3,"Pastel, Romantic"
Cafe Lota,Pragati Maidan,Modern Indian,"?1,500+",Both,Open-Air,4.7,"Artistic, Cultural"
AMA Cafe,Majnu Ka Tila,Himalayan/Bakery,"?1,000+",Both,Cafe,4.5,"Cozy, Breakfast"
Savorworks,Chhatarpur,Coffee/Chocolate,"?1,200+",Both,Cafe,4.4,"Minimalist, Coffee"
Blue Tokai,Saidulajab,Coffee,?800+,Both,Cafe,4.6,"Industrial, Work"
Fabcafe,Vasant Kunj,Fusion Indian,"?1,500+",Both,Cafe,4.3,Health-focused
Leo’s Pizzeria,Vasant Vihar,Artisanal Pizza,"?2,000+",Both,Casual,4.7,"Wood-fired, Pet-friendly"
